model,sample,pixel_accuracy,mean_tissue_dice,Background_dice,Background_iou,Background_precision,Background_recall,Background_f1,Background_specificity,Tissue_dice,Tissue_iou,Tissue_precision,Tissue_recall,Tissue_f1,Tissue_specificity,OS_dice,OS_iou,OS_precision,OS_recall,OS_f1,OS_specificity,Vaginal_dice,Vaginal_iou,Vaginal_precision,Vaginal_recall,Vaginal_f1,Vaginal_specificity
UNet_NoPretrained,Day0_mm_results_Day0H_2B_S7,0.6707263016162701,0.48696273492618475,0.9290617185679678,0.8675212518555686,0.8741174755316125,0.9913764901398867,0.9290617185679678,0.9375527979430038,0.6524111374570294,0.4841321827385064,0.5022355155022307,0.9307053996935404,0.6524111374570294,0.6041720825621745,0.5684034664750216,0.39704166164433097,0.9053313761009433,0.4142400048016394,0.5684034664750216,0.9937180836953278,0.24007360084650337,0.1364111595587042,0.9167888431968532,0.13812126419907392,0.2400736008465034,0.9953919936632487
UNet_NoPretrained,Day15_mm_results_D15C_S6A_2,0.8799695721224896,0.5928277171186397,0.9163630438382013,0.8456365747103392,0.9974539712327356,0.8474658387709897,0.9163630438382012,0.9982446613379756,0.896098660434394,0.8117561129031838,0.8283338129725386,0.9759388745224572,0.8960986604343941,0.8245290359487535,0.6691742197036227,0.5028263125129695,0.6597832598159342,0.6788363701562115,0.6691742197036228,0.9757560658343462,0.21321027121790245,0.11932588809049721,0.5525120256547301,0.13209174546383848,0.21321027121790245,0.9975125893135668
UNet_NoPretrained,Day14_mm_results_D14D_S8A_3,0.8564496647997654,0.5617614026108545,0.8672201954888589,0.7655681996053184,0.9989120144148547,0.7662070894074688,0.8672201954888589,0.9991794606033124,0.8544430181682735,0.7458756148489737,0.7514851406198917,0.9900913473071192,0.8544430181682735,0.7681581319344828,0.83084118966429,0.710631594544221,0.9511209919839679,0.7375675850681517,0.83084118966429,0.9962659552074097,0.0,0.0,0.0,0.0,0.0,0.9959947273830574
UNet_NoPretrained,Day6_mm_results_Day6D_8B_S3,0.8457845517396664,0.4035235979102114,0.9304341245803364,0.8699175487580545,0.9981700321679912,0.8713071439262817,0.9304341245803365,0.9982443222574802,0.8257491875663394,0.703213639558789,0.762139255869967,0.9009440972167987,0.8257491875663394,0.8081489813392706,0.3848216061642947,0.23825331470069086,0.4412547308575867,0.3411864532403704,0.3848216061642947,0.9670719302230358,0.0,0.0,0.0,0.0,0.0,0.9912577302569956
UNet_NoPretrained,Day18_mm_results_D18E_S2A_1,0.7586555399441031,0.7581816913222509,0.7493104830909829,0.5991179049320299,0.7624563324469472,0.7366102574306302,0.7493104830909829,0.9822145663047457,0.788383319094234,0.6506870791056324,0.7037680279488273,0.8961261749584417,0.788383319094234,0.6784158429132596,0.8264552001599728,0.7042383045561037,0.8578194236545496,0.7973036006122527,0.8264552001599728,0.9753343529894807,0.6597065547125457,0.4922105357092585,0.8464010288646592,0.540488565700777,0.6597065547125457,0.9558138453279632
UNet_NoPretrained,Day15_mm_results_D15F_S6B_2,0.8950528568234806,0.8455591650297363,0.9813418565563607,0.9633672129090055,0.991857022232223,0.9710473049608264,0.9813418565563606,0.9960237681840532,0.8730412316777391,0.7746878201919163,0.8282887737985266,0.9229058520580116,0.8730412316777392,0.8773250453275137,0.8959605537644605,0.8115294764325959,0.8880208333333334,0.9040435318103694,0.8959605537644605,0.9867233723914542,0.7676757096470095,0.6229494262643434,0.8820218265364733,0.6795749864074887,0.7676757096470095,0.9810885629079086
UNet_NoPretrained,Day15_mm_results_Day15F_S6B_3,0.9154798923410593,0.8741389183799301,0.9847169861296275,0.9698940814303355,0.9810746502350824,0.9883864678645015,0.9847169861296275,0.9907094138704586,0.897446420990888,0.8139708020334412,0.8838978860716671,0.911416769974115,0.8974464209908881,0.9182542968926544,0.891988461169992,0.8050353537941282,0.8741202815099168,0.910602383453472,0.8919884611699921,0.9853982861277668,0.83298187297891,0.713769438273564,0.8874809484115045,0.7847889805816773,0.83298187297891,0.9801361179224253
UNet_NoPretrained,Day13_mm_results_D13D_S9A_5,0.7205396883465294,0.5624723420577117,0.8767848177527864,0.7806027122947229,0.9281972920182304,0.8307688648391509,0.8767848177527865,0.9717746189902629,0.7465098832747455,0.595545089118855,0.632549179110112,0.9105567066693312,0.7465098832747454,0.6261945288904416,0.6203656298846929,0.4496594484180936,0.8273153518948183,0.4962344976551684,0.6203656298846929,0.988473212924521,0.32054151301369666,0.19086003941001894,0.5694936124365092,0.22304025977157463,0.32054151301369666,0.9628338574655623
UNet_NoPretrained,Day12_mm_results_Day12D_9B_S2,0.7440120429743192,0.41571689343639034,0.6497164628370556,0.48117039492473024,0.6066303467685511,0.6993909291955189,0.6497164628370555,0.9496927645081528,0.8369983987120038,0.7196880879485017,0.8225954195529088,0.8519147353297659,0.8369983987120038,0.5155801995213384,0.41015228159716727,0.25798211794096093,0.5624762470843577,0.32274880732883,0.4101522815971673,0.9466985422305507,0.0,0.0,0.0,0.0,0.0,0.9664689610509258
UNet_NoPretrained,Day0_mm_results_Day0G_8B_S2,0.8433616941251766,0.7080229363481924,0.9265736336912981,0.863192541913796,0.9960632297700753,0.8661475093542335,0.9265736336912981,0.9984345218657862,0.8544759130940954,0.7459257494986953,0.8037608296348934,0.9120219751580787,0.8544759130940954,0.7747986318799637,0.736943403563931,0.5834603181229908,0.6806690714274843,0.8033613203852801,0.7369434035639311,0.9577693709687322,0.5326494923865507,0.36300085741127436,0.8506441069025188,0.38771191082328094,0.5326494923865507,0.9938695128815795
UNet_NoPretrained,Day15_mm_results_D15F_S6B_5,0.8836692594237866,0.8334435236587657,0.9567210322059331,0.9170327992222885,0.973925837356077,0.9401135354378727,0.956721032205933,0.9861657589316848,0.8661717838891836,0.7639356399686978,0.803460392924791,0.9395013965353629,0.8661717838891836,0.8604181493623922,0.8766522792320869,0.780392627344998,0.8820296888381387,0.8713400404684184,0.8766522792320869,0.9866245362484778,0.7575065078550266,0.6096663786522604,0.9249080519744963,0.6414150997515589,0.7575065078550266,0.9897478087798233
UNet_NoPretrained,Day6_mm_results_day6_4,0.8481690036745285,0.5031965731841473,0.9560332147686427,0.915769762307881,0.9919963708240174,0.9225864001832275,0.9560332147686426,0.9931042665605785,0.836106162553546,0.7183697822371293,0.7310265883299888,0.9764657738095238,0.8361061625535459,0.7707269707908329,0.48963223552295077,0.3241808035359397,0.8936711079943899,0.33718641993682924,0.48963223552295077,0.9981615223140872,0.1838513214759453,0.10123142650708385,0.5883695453715537,0.10894737731798435,0.18385132147594527,0.9928526535454976
UNetPlusPlus_Pretrained,Day0_mm_results_Day0H_2B_S7,0.9101196930757423,0.8790029892419767,0.9865777428032737,0.9735110274095338,0.9843468004376927,0.9888188206407498,0.9865777428032738,0.9931221857899613,0.8718501410113249,0.7728141204510641,0.8658049367671754,0.8779803562020705,0.8718501410113249,0.9416045536202755,0.8888874087789759,0.799997602225135,0.9218176794732076,0.8582287380977219,0.888887408778976,0.9894437858540306,0.8762714179356297,0.7797892052597398,0.871224688136541,0.8813769566236306,0.8762714179356297,0.9521144575703757
UNetPlusPlus_Pretrained,Day15_mm_results_D15C_S6A_2,0.9401444743497057,0.8037804061340884,0.969212578488546,0.940264266193101,0.9803731098343318,0.9583032891677348,0.969212578488546,0.9844320526154546,0.944470680490726,0.8947839373422805,0.9597521671661822,0.9296682005328166,0.944470680490726,0.9661768035039157,0.8564859225269237,0.748994646764276,0.7664336283185841,0.9705170443084784,0.8564859225269237,0.9795156335616704,0.6103846153846154,0.43924716302241906,0.5354251012145749,0.7097495527728086,0.6103846153846154,0.9856816054902776
UNetPlusPlus_Pretrained,Day14_mm_results_D14D_S8A_3,0.9370516025445603,0.6179213287021312,0.9576508579205645,0.9187428849512917,0.9884394955076244,0.928722334224963,0.9576508579205645,0.9893200319578502,0.9276280225930986,0.865024489763517,0.902683663089112,0.9539901631364501,0.9276280225930986,0.9271752997581106,0.9261359635132952,0.8624331684887013,0.9485045182639684,0.9047981351377602,0.9261359635132952,0.9951608119055668,0.0,0.0,0.0,0.0,0.0,0.9894772676462817
UNetPlusPlus_Pretrained,Day6_mm_results_Day6D_8B_S3,0.9524650395184983,0.9241907465806936,0.9777468215454206,0.9564624910470393,0.9939984484473043,0.9620180659273955,0.9777468215454207,0.9936159590764854,0.9423621162458178,0.8910063933232207,0.927114911257935,0.958119213750661,0.9423621162458178,0.9486071746552193,0.8302101234962631,0.7097087606687038,0.8118195918467044,0.8494531866985972,0.8302101234962632,0.984992638714169,1.0,1.0,0.0,0.0,0.0,1.0
